//======================================================================
// Heart Transplant
//======================================================================
"DOTA_Tooltip_Ability_item_heart_transplant"                                        "<font color=\"#4ae0bf\">Heart Transplant</font>"
"DOTA_Tooltip_Ability_item_recipe_heart_transplant"                                 "Heart Transplant Recipe"
"DOTA_Tooltip_Ability_item_heart_transplant_Description"                            "<h1>Active: Transplant</h1> Gives all bonus Strength, HP, and Regeneration to the selected allied unit for %transplant_duration% seconds. If damage is taken from an enemy hero or Roshan, this Ability is disabled for %cooldown_melee% seconds for melee heroes, or %cooldown_ranged_tooltip% seconds for ranged heroes.<br><br>Range: %transplant_range_tooltip%\n<h1>Passive: Health Regeneration</h1>Restores %health_regen_rate%%% of max health per second. Health Regeneration is also disabled by damage as described above."
"DOTA_Tooltip_Ability_item_heart_transplant_Lore"                                   "A talisman containing a beautiful priestess's soul."
"DOTA_Tooltip_Ability_item_heart_transplant_bonus_strength"                         "+$str"
"DOTA_Tooltip_Ability_item_heart_transplant_bonus_health"                           "+$health"

"DOTA_Tooltip_Ability_item_heart_transplant_2"                                      "<font color=\"#4ae0bf\">Heart Transplant 2</font>"
"DOTA_Tooltip_Ability_item_recipe_heart_transplant_2"                               "Heart Transplant Recipe"
"DOTA_Tooltip_Ability_item_heart_transplant_2_Description"                          "<h1>Active: Transplant</h1> Gives all bonus Strength, HP, and Regeneration to the selected allied unit for %transplant_duration% seconds. If damage is taken from an enemy hero or Roshan, this Ability is disabled for %cooldown_melee% seconds for melee heroes, or %cooldown_ranged_tooltip% seconds for ranged heroes.<br><br>Range: %transplant_range_tooltip%\n<h1>Passive: Health Regeneration</h1>Restores %health_regen_rate%%% of max health per second. Health Regeneration is also disabled by damage as described above."
"DOTA_Tooltip_Ability_item_heart_transplant_2_Lore"                                 "A talisman containing a beautiful priestess's soul."
"DOTA_Tooltip_Ability_item_heart_transplant_2_bonus_strength"                       "+$str"
"DOTA_Tooltip_Ability_item_heart_transplant_2_bonus_health"                         "+$health"

"DOTA_Tooltip_Ability_item_heart_transplant_3"                                      "<font color=\"#4ae0bf\">Heart Transplant 3</font>"
"DOTA_Tooltip_Ability_item_recipe_heart_transplant_3"                               "Heart Transplant Recipe"
"DOTA_Tooltip_Ability_item_heart_transplant_3_Description"                          "<h1>Active: Transplant</h1> Gives all bonus Strength, HP, and Regeneration to the selected allied unit for %transplant_duration% seconds. If damage is taken from an enemy hero or Roshan, this Ability is disabled for %cooldown_melee% seconds for melee heroes, or %cooldown_ranged_tooltip% seconds for ranged heroes.<br><br>Range: %transplant_range_tooltip%\n<h1>Passive: Health Regeneration</h1>Restores %health_regen_rate%%% of max health per second. Health Regeneration is also disabled by damage as described above."
"DOTA_Tooltip_Ability_item_heart_transplant_3_Lore"                                 "A talisman containing a beautiful priestess's soul."
"DOTA_Tooltip_Ability_item_heart_transplant_3_bonus_strength"                       "+$str"
"DOTA_Tooltip_Ability_item_heart_transplant_3_bonus_health"                         "+$health"
