//=============================================================================
// Regeneration Crystal
//=============================================================================
"DOTA_Tooltip_Ability_item_regen_crystal"                                             "<font color=\"#4ae0bf\">Regeneration Crystal</font>"
"DOTA_Tooltip_Ability_item_regen_crystal_Description"                                 "<h1>Active: Outlast</h1> Gives %bonus_health_regen% additional health regeneration for %duration% seconds. Can be used while stunned."
"DOTA_Tooltip_Ability_item_regen_crystal_Lore"                                        "A magical crystal of life."
"DOTA_Tooltip_Ability_item_regen_crystal_bonus_health"                  "+$health"
"DOTA_Tooltip_Ability_item_regen_crystal_bonus_armor"                  "+$armor"
"DOTA_Tooltip_Ability_item_regen_crystal_magic_resistance"                "%+$spell_resist"

"DOTA_Tooltip_Ability_item_regen_crystal_2"                                             "<font color=\"#4ae0bf\">Regeneration Crystal 2</font>"
"DOTA_Tooltip_Ability_item_regen_crystal_2_Description"                                 "<h1>Active: Outlast</h1> Gives %bonus_health_regen% additional health regeneration for %duration% seconds. Can be used while stunned."
"DOTA_Tooltip_Ability_item_regen_crystal_2_Lore"                                        "A magical crystal of life."
"DOTA_Tooltip_Ability_item_regen_crystal_2_bonus_health"                  "+$health"
"DOTA_Tooltip_Ability_item_regen_crystal_2_bonus_armor"                  "+$armor"
"DOTA_Tooltip_Ability_item_regen_crystal_2_magic_resistance"                "%+$spell_resist"

"DOTA_Tooltip_Ability_item_regen_crystal_3"                                             "<font color=\"#4ae0bf\">Regeneration Crystal 3</font>"
"DOTA_Tooltip_Ability_item_regen_crystal_3_Description"                                 "<h1>Active: Outlast</h1> Gives %bonus_health_regen% additional health regeneration for %duration% seconds. Can be used while stunned."
"DOTA_Tooltip_Ability_item_regen_crystal_3_Lore"                                        "A magical crystal of life."
"DOTA_Tooltip_Ability_item_regen_crystal_3_bonus_health"                  "+$health"
"DOTA_Tooltip_Ability_item_regen_crystal_3_bonus_armor"                  "+$armor"
"DOTA_Tooltip_Ability_item_regen_crystal_3_magic_resistance"                "%+$spell_resist"

