"DOTA_Tooltip_Ability_item_wand_of_the_brine"                         "<font color=\"#4ae0bf\">Wand of the Brine</font>"
"DOTA_Tooltip_Ability_item_wand_of_the_brine_Lore"                    "Were it not for this revered wand, there would have been no Conclave survivors at the Battle of Stonefish Gate."
"DOTA_Tooltip_Ability_item_wand_of_the_brine_Description"             "<h1>Active: Brinefoam</h1>Puts a friendly unit in a protective bubble that grants them %bubble_regen% health regeneration for %bubble_duration% seconds."
"DOTA_Tooltip_Ability_item_wand_of_the_brine_bonus_intelligence"      "+$int"
"DOTA_Tooltip_Ability_item_wand_of_the_brine_bonus_mana_regen"        "+$mana_regen"

"DOTA_Tooltip_Ability_item_wand_of_the_brine_2"                       "<font color=\"#4ae0bf\">Wand of the Brine</font>"
"DOTA_Tooltip_Ability_item_wand_of_the_brine_2_Lore"                  "Were it not for this revered wand, there would have been no Conclave survivors at the Battle of Stonefish Gate."
"DOTA_Tooltip_Ability_item_wand_of_the_brine_2_Description"           "<h1>Active: Brinefoam</h1>Puts a friendly unit in a protective bubble that grants them %bubble_regen% health regeneration for %bubble_duration% seconds."
"DOTA_Tooltip_Ability_item_wand_of_the_brine_2_bonus_intelligence"    "+$int"
"DOTA_Tooltip_Ability_item_wand_of_the_brine_2_bonus_mana_regen"      "+$mana_regen"

"DOTA_Tooltip_Ability_item_wand_of_the_brine_3"                       "<font color=\"#4ae0bf\">Wand of the Brine</font>"
"DOTA_Tooltip_Ability_item_wand_of_the_brine_3_Lore"                  "Were it not for this revered wand, there would have been no Conclave survivors at the Battle of Stonefish Gate."
"DOTA_Tooltip_Ability_item_wand_of_the_brine_3_Description"           "<h1>Active: Brinefoam</h1>Puts a friendly unit in a protective bubble that grants them %bubble_regen% health regeneration for %bubble_duration% seconds."
"DOTA_Tooltip_Ability_item_wand_of_the_brine_3_bonus_intelligence"    "+$int"
"DOTA_Tooltip_Ability_item_wand_of_the_brine_3_bonus_mana_regen"      "+$mana_regen"
