"DOTA_Tooltip_ability_item_watchers_gaze"                   "<font color=\"#4ae0bf\">Watcher's Gaze</font>"
"DOTA_Tooltip_ability_item_watchers_gaze_Description"       "<h1>Active: Stone Gaze</h1>Enemies within your frontal cone are turned to stone for %stone_duration% seconds. Pertified units are stunned, have 100%% magic resistance, and take %bonus_physical_damage%%% more physical damage."
"DOTA_Tooltip_ability_item_watchers_gaze_Lore"              "Look upon thine enemies and see them petrify before you."
"DOTA_Tooltip_ability_item_watchers_gaze_bonus_stats"       "+$all"

"DOTA_Tooltip_ability_item_watchers_gaze_2"                 "<font color=\"#4ae0bf\">Watcher's Gaze</font>"
"DOTA_Tooltip_ability_item_watchers_gaze_2_Description"     "<h1>Active: Stone Gaze</h1>Enemies within your frontal cone are turned to stone for %stone_duration% seconds. Pertified units are stunned, have 100%% magic resistance, and take %bonus_physical_damage%%% more physical damage."
"DOTA_Tooltip_ability_item_watchers_gaze_2_Lore"            "Look upon thine enemies and see them petrify before you."
"DOTA_Tooltip_ability_item_watchers_gaze_2_bonus_stats"     "+$all"

"DOTA_Tooltip_ability_item_watchers_gaze_3"                 "<font color=\"#4ae0bf\">Watcher's Gaze</font>"
"DOTA_Tooltip_ability_item_watchers_gaze_3_Description"     "<h1>Active: Stone Gaze</h1>Enemies within your frontal cone are turned to stone for %stone_duration% seconds. Pertified units are stunned, have 100%% magic resistance, and take %bonus_physical_damage%%% more physical damage."
"DOTA_Tooltip_ability_item_watchers_gaze_3_Lore"            "Look upon thine enemies and see them petrify before you."
"DOTA_Tooltip_ability_item_watchers_gaze_3_bonus_stats"     "+$all"
